"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","20","4960","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","20","4","4","1","1.754740","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","20","7","2","1","6.121789","0","23"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","20","3","3","1","2.465187","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","20","3","3","1","2.523273","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","20","18","1","1","14.682800","0","63"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","20","7","1","1","4.959145","0","21"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","20","5","1","1","3.260140","0","12"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","20","4","4","1","2.488590","0","7"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","20","27","6","1","20.001858","0","99"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","20","8","1","1","5.433610","0","24"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","20","12","2","1","8.720098","0","37"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","20","3","3","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","20","26","6","1","16.981915","0","83"
"/Engine/VREditor/TransformGizmo/Xray.Xray","20","14","4","1","9.279395","0","41"
"/Engine/VREditor/TransformGizmo/Main.Main","20","3","3","1","2.133326","0","4"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","20","3","3","1","2.141406","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","20","36","7","1","17.357210","0","118"
"/Game/model/standardSurface1.standardSurface1","20","14","4","1","0.000000","0","41"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","20","4","1","1","5.525395","0","13"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","20","35","4","1","41.888229","0","138"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","20","35","4","1","33.820827","0","181"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","20","35","4","1","0.000000","0","181"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","20","28","1","1","32.543442","0","386"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","20","5","1","1","6.651585","0","14"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","20","8","1","1","7.564247","0","45"
"/ControlRig/M_Manip.M_Manip","20","8","1","1","6.658958","0","37"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","20","54","7","3","53.006901","0","661"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","20","4","1","1","2.124844","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","20","4","1","1","2.961156","0","13"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","20","53","10","6","43.712517","0","214"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","20","6","1","1","3.647011","0","26"
